event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
5,0.0,0.14285714285714285,0.37,0.03,0.7079591836734694,1.95,0.07,0.2720408163265306,0.73,0.07,0.2720408163265306,0.73,0.0,0.20632653061224487,0.73,0.0,0.06408163265306123,0.11
5,0.0,0.22093333333333334,0.76,0.01,0.396,1.16,0.0,0.10480000000000003,0.35,0.0,0.10480000000000003,0.35,0.0,0.2908,1.08,0.0,0.18853333333333336,0.87
5,0.0,0.10373333333333334,0.7,0.0,0.3261333333333333,2.19,0.01,0.17106666666666667,0.84,0.01,0.17106666666666667,0.84,0.08,0.5673333333333332,1.47,0.0,0.29133333333333333,0.79
1,0.0,0.04448979591836734,0.09,0.02,0.2963265306122449,0.82,0.0,0.09755102040816327,0.26,0.0,0.09755102040816327,0.26,0.0,0.5081632653061223,1.96,0.01,0.2722448979591837,0.62
2,0.0,0.19461538461538463,0.45,0.05,0.8976923076923077,1.94,0.07,0.43461538461538457,0.8,0.07,0.43461538461538457,0.8,0.06,0.31576923076923075,0.78,0.0,0.09346153846153846,0.25
1,0.0,0.08583333333333333,0.2,0.09,0.3433333333333333,0.7,0.0,0.09750000000000002,0.18,0.0,0.09750000000000002,0.18,0.02,0.7608333333333333,1.47,0.04,0.30541666666666667,0.43
1,0.03,0.19680000000000003,0.51,0.08,0.8080000000000002,2.26,0.02,0.1332,0.46,0.02,0.1332,0.46,0.0,0.1928,0.57,0.0,0.148,0.25
2,0.03,0.14200000000000002,0.29,0.04,0.5800000000000001,2.28,0.02,0.3384,1.11,0.02,0.3384,1.11,0.03,0.7352,1.67,0.0,0.09760000000000002,0.53
2,0.0,0.18289999999999998,0.89,0.0,0.3032999999999999,1.82,0.0,0.11800000000000005,0.66,0.0,0.11800000000000005,0.66,0.01,0.18289999999999998,1.08,0.0,0.18259999999999998,0.61
1,0.0,0.043673469387755105,0.09,0.0,0.024693877551020406,0.06,0.0,0.007346938775510204,0.06,0.0,0.007346938775510204,0.06,0.03,0.5546938775510204,1.2,0.0,0.22244897959183674,0.66
2,0.0,0.0616,0.25,0.0,0.1888,0.92,0.0,0.0542,0.21,0.0,0.0542,0.21,0.0,0.24779999999999996,0.91,0.0,0.2066,0.65
1,0.02,0.3116,0.71,0.0,0.4996,1.44,0.0,0.122,0.55,0.0,0.122,0.55,0.0,0.019600000000000003,0.05,0.0,0.05299999999999999,0.08
2,0.01,0.33779999999999993,1.07,0.0,0.4221999999999999,1.65,0.0,0.18400000000000002,0.72,0.0,0.18400000000000002,0.72,0.0,0.2192,0.47,0.0,0.05999999999999999,0.13
1,0.0,0.0363265306122449,0.08,0.0,0.024693877551020413,0.04,0.0,0.028367346938775514,0.05,0.0,0.028367346938775514,0.05,0.03,0.47959183673469385,1.2,0.0,0.12122448979591838,0.27
2,0.0,0.08680000000000002,0.15,0.0,0.2266,0.46,0.0,0.056400000000000006,0.18,0.0,0.056400000000000006,0.18,0.0,0.5386,1.52,0.0,0.193,0.61
1,0.03,0.4911999999999999,0.93,0.03,0.623,1.4,0.0,0.16759999999999997,0.44,0.0,0.16759999999999997,0.44,0.0,0.05780000000000001,0.12,0.0,0.023600000000000003,0.05
2,0.0,0.1253061224489796,0.52,0.0,0.573469387755102,2.04,0.0,0.16448979591836732,0.72,0.0,0.16448979591836732,0.72,0.04,0.20061224489795923,0.42,0.0,0.06224489795918369,0.24
1,0.0,0.03285714285714286,0.08,0.0,0.04346938775510204,0.1,0.0,0.025306122448979597,0.05,0.0,0.025306122448979597,0.05,0.03,0.5257142857142857,1.03,0.0,0.2475510204081633,0.64
2,0.04,0.12862068965517245,0.3,0.0,0.16724137931034486,0.53,0.01,0.09689655172413791,0.28,0.01,0.09689655172413791,0.28,0.01,0.36758620689655175,1.38,0.04,0.21103448275862066,0.81
1,0.0,0.5639583333333333,1.58,0.03,0.43083333333333335,0.88,0.0,0.2508333333333333,0.69,0.0,0.2508333333333333,0.69,0.02,0.08270833333333333,0.14,0.0,0.022708333333333334,0.06
2,0.0,0.25179999999999997,0.95,0.0,0.38120000000000004,1.37,0.01,0.1542,0.59,0.01,0.1542,0.59,0.0,0.10980000000000002,0.32,0.0,0.0666,0.26
2,0.0,0.0608,0.16,0.0,0.1638,0.38,0.0,0.0608,0.17,0.0,0.0608,0.17,0.01,0.5458000000000001,1.07,0.0,0.24780000000000005,0.69
1,0.01,0.4954,1.49,0.01,0.3818,0.65,0.01,0.26300000000000007,1.01,0.01,0.26300000000000007,1.01,0.0,0.16200000000000003,0.39,0.0,0.0958,0.55
1,0.0,0.039400000000000004,0.17,0.0,0.1672,0.29,0.0,0.1264,0.33,0.0,0.1264,0.33,0.05,0.43579999999999997,1.38,0.06,0.29960000000000003,0.74
2,0.01,0.33061224489795926,1.16,0.01,0.4914285714285714,1.75,0.04,0.34469387755102043,0.68,0.04,0.34469387755102043,0.68,0.0,0.3751020408163266,0.8,0.0,0.09918367346938776,0.22
2,0.0,0.1386,0.28,0.01,0.059000000000000004,0.15,0.0,0.027800000000000002,0.06,0.0,0.027800000000000002,0.06,0.0,0.292,0.68,0.0,0.26580000000000004,0.75
2,0.0,0.05600000000000001,0.09,0.03,0.11279999999999997,0.22,0.0,0.0726,0.19,0.0,0.0726,0.19,0.0,0.4282,1.66,0.0,0.26959999999999995,0.54
2,0.01,0.3820408163265306,1.27,0.0,0.4648979591836735,1.45,0.01,0.2416326530612245,0.7,0.01,0.2416326530612245,0.7,0.0,0.04673469387755102,0.1,0.03,0.057346938775510205,0.08
1,0.0,0.17140000000000008,0.49,0.03,0.6072,2.58,0.0,0.24239999999999995,0.88,0.0,0.24239999999999995,0.88,0.0,0.12,0.22,0.0,0.04020000000000001,0.14
1,0.01,0.0708,0.13,0.01,0.046599999999999996,0.13,0.0,0.026600000000000002,0.12,0.0,0.026600000000000002,0.12,0.02,0.9122,2.51,0.02,0.31120000000000003,0.82
1,0.01,0.251,0.61,0.02,0.8844,2.29,0.03,0.3958,1.03,0.03,0.3958,1.03,0.0,0.3294,0.86,0.0,0.06199999999999999,0.11
1,0.0,0.06939999999999999,0.15,0.02,0.48599999999999993,0.87,0.01,0.1278,0.54,0.01,0.1278,0.54,0.0,0.7452,2.18,0.0,0.266,0.73
2,0.0,0.14142857142857143,0.56,0.0,0.6769387755102041,2.76,0.01,0.27836734693877546,1.38,0.01,0.27836734693877546,1.38,0.0,0.29489795918367345,0.54,0.0,0.1620408163265306,0.44
1,0.0,0.0552,0.11,0.01,0.17200000000000004,0.33,0.0,0.09760000000000002,0.22,0.0,0.09760000000000002,0.22,0.01,0.3862,0.82,0.0,0.24100000000000005,0.58
2,0.0,0.05360000000000001,0.18,0.0,0.20579999999999998,0.55,0.0,0.17800000000000005,0.47,0.0,0.17800000000000005,0.47,0.0,0.39620000000000005,1.43,0.06,0.23740000000000006,0.56
1,0.04,0.43,1.19,0.01,0.4224,0.87,0.03,0.2736,0.58,0.03,0.2736,0.58,0.0,0.0304,0.09,0.0,0.0378,0.07
2,0.0,0.35469387755102033,1.2,0.0,0.5059183673469388,1.72,0.06,0.296734693877551,0.71,0.06,0.296734693877551,0.71,0.0,0.1440816326530612,0.45,0.0,0.06755102040816327,0.31
2,0.08,0.1648,0.21,0.07,0.1056,0.15,0.02,0.038,0.05,0.02,0.038,0.05,0.03,0.7744,1.2,0.01,0.39520000000000005,0.56
1,0.13,0.21639999999999998,0.28,0.01,0.30319999999999997,0.5,0.0,0.0796,0.18,0.0,0.0796,0.18,0.03,0.27159999999999995,1.39,0.0,0.1764,0.86
1,0.06,0.48276595744680845,1.23,0.01,0.4529787234042552,1.7,0.01,0.5810638297872341,1.24,0.01,0.5810638297872341,1.24,0.0,0.3797872340425533,2.07,0.08,0.29212765957446807,0.85
2,0.0,0.2852,0.49,0.01,1.1068,2.51,0.01,0.528,0.76,0.01,0.528,0.76,0.07,0.38199999999999995,0.59,0.0,0.10880000000000001,0.22
1,0.0,0.07546666666666667,0.15,0.0,0.29946666666666666,0.88,0.0,0.07946666666666667,0.26,0.0,0.07946666666666667,0.26,0.01,0.4308,1.1,0.0,0.13933333333333334,0.45
1,0.02,0.07680000000000002,0.21,0.01,0.6775999999999999,2.15,0.02,0.3196,0.99,0.02,0.3196,0.99,0.01,0.1544,0.25,0.0,0.046000000000000006,0.07
1,0.02,0.17583333333333337,0.44,0.0,0.29083333333333333,1.87,0.08,0.31124999999999997,1.08,0.08,0.31124999999999997,1.08,0.03,0.49,1.01,0.0,0.1625,0.42
1,0.0,0.1332,0.37,0.01,0.5512,1.5,0.01,0.1378,0.52,0.01,0.1378,0.52,0.01,0.5326,1.8,0.0,0.18979999999999997,0.68
1,0.01,0.04653846153846154,0.11,0.0,0.08192307692307692,0.26,0.0,0.0423076923076923,0.19,0.0,0.0423076923076923,0.19,0.02,0.6692307692307692,1.38,0.04,0.19499999999999998,0.29
1,0.0,0.12388059701492536,0.6,0.0,0.4414925373134328,1.97,0.0,0.138955223880597,0.78,0.0,0.138955223880597,0.78,0.01,0.3449253731343283,1.07,0.01,0.15746268656716422,0.24
1,0.0,0.04000000000000001,0.14,0.01,0.2344827586206897,0.57,0.0,0.03931034482758622,0.08,0.0,0.03931034482758622,0.08,0.01,0.3424137931034483,1.79,0.07,0.2796551724137931,0.69
2,0.01,0.1008,0.38,0.0,0.498,2.11,0.0,0.23700000000000002,1.09,0.0,0.23700000000000002,1.09,0.03,0.32160000000000005,0.59,0.0,0.1016,0.2
1,0.01,0.09959183673469388,0.23,0.09,0.3877551020408163,0.95,0.0,0.12897959183673469,0.37,0.0,0.12897959183673469,0.37,0.03,0.530408163265306,1.12,0.0,0.1738775510204082,0.65
5,0.01,0.2346,0.64,0.04,0.866,2.31,0.01,0.4826,1.24,0.01,0.4826,1.24,0.0,0.0712,0.33,0.0,0.034,0.07
2,0.02,0.20256281407035176,1.69,0.0,0.16442211055276382,1.98,0.0,0.11763819095477385,0.93,0.0,0.11763819095477385,0.93,0.0,0.14492462311557788,1.52,0.0,0.16909547738693467,1.76
