time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.13 11:13:51:716,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.02,0.00,0.01,0.00,0.00
2021.4.13 11:13:51:728,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.02,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:742,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:749,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:762,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:773,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:783,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:795,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:806,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,0.01,0.00,0.00
2021.4.13 11:13:51:829,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:840,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:846,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,-0.01,0.00,0.00
2021.4.13 11:13:51:852,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,-0.01,0.00,0.00
2021.4.13 11:13:51:861,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,-0.01,0.00,0.00
2021.4.13 11:13:51:872,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,-0.01,0.00,0.00
2021.4.13 11:13:51:884,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:894,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:912,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,-0.01,0.00,0.00,0.00
2021.4.13 11:13:51:918,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,-0.01,0.00,0.00,0.00
2021.4.13 11:13:51:928,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:939,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.02,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:952,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.02,0.00,-0.01,0.00,0.00
2021.4.13 11:13:51:962,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.02,0.00,-0.01,0.00,0.00
2021.4.13 11:13:51:973,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.02,0.00,-0.01,0.00,0.00
2021.4.13 11:13:51:984,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,-0.01,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:52:11,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,-0.02,0.02,-0.01,0.00,0.01,-0.01
2021.4.13 11:13:52:19,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,-0.02,0.02,-0.01,0.00,0.01,-0.01
2021.4.13 11:13:52:24,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,-0.02,0.02,-0.01,0.00,0.01,-0.01
2021.4.13 11:13:52:29,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,-0.02,0.02,-0.01,0.00,0.01,-0.01
2021.4.13 11:13:52:40,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,-0.01,0.02,-0.01,0.00,0.01,0.00
2021.4.13 11:13:52:51,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.02,0.00,0.00,0.01,0.00
2021.4.13 11:13:52:62,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.02,0.00,0.00,0.00,0.00
2021.4.13 11:13:52:73,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.02,0.00,0.00,0.00,0.00
2021.4.13 11:13:52:96,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.02,0.00,0.01,0.00,0.00
2021.4.13 11:13:52:103,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.02,0.00,0.01,0.00,0.00
2021.4.13 11:13:52:108,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.02,0.00,0.01,0.00,0.00
2021.4.13 11:13:52:118,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,-0.01,0.01,0.00,0.00
2021.4.13 11:13:52:129,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,-0.01,0.01,0.00,0.00
2021.4.13 11:13:52:142,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,-0.01,0.01,0.00,0.00
2021.4.13 11:13:52:152,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,-0.01,0.01,-0.01,0.00
2021.4.13 11:13:52:163,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.02,0.01,-0.01,0.00,-0.01,0.00
2021.4.13 11:13:52:174,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.02,0.01,0.00,0.00,-0.01,0.00
2021.4.13 11:13:52:196,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.02,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:52:208,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.02,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:52:214,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.02,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:52:219,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.02,0.01,0.00,0.00,0.00,0.01
2021.4.13 11:13:52:230,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,-0.01,0.00,0.00,0.01
2021.4.13 11:13:52:241,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,0.00,-0.01,0.01
2021.4.13 11:13:52:252,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,0.00,-0.01,0.01
2021.4.13 11:13:52:263,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.02,0.01,0.00,0.01,-0.02,0.01
2021.4.13 11:13:52:278,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.03,0.01,0.00,0.00,-0.02,0.01
2021.4.13 11:13:52:287,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.03,0.01,0.00,0.00,-0.02,0.01
2021.4.13 11:13:52:297,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.04,0.02,0.00,0.00,-0.02,0.01
2021.4.13 11:13:52:308,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.04,0.02,0.00,-0.01,-0.02,0.01
2021.4.13 11:13:52:319,-0.14,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.04,0.02,0.00,-0.01,-0.02,0.01
2021.4.13 11:13:52:331,-0.14,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.05,0.03,0.00,-0.01,-0.02,0.00
2021.4.13 11:13:52:342,-0.14,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.05,0.03,0.00,0.00,-0.01,0.00
2021.4.13 11:13:52:353,-0.14,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.05,0.03,0.00,0.01,-0.01,0.00
2021.4.13 11:13:52:382,-0.14,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.07,0.03,0.01,0.02,-0.01,0.00
2021.4.13 11:13:52:388,-0.14,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.07,0.03,0.01,0.03,-0.01,0.00
2021.4.13 11:13:52:393,-0.14,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.07,0.02,0.01,0.03,-0.01,0.00
2021.4.13 11:13:52:398,-0.14,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.07,0.02,0.01,0.03,-0.01,0.00
2021.4.13 11:13:52:409,-0.14,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.08,0.02,0.01,0.04,-0.01,0.00
2021.4.13 11:13:52:420,-0.14,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.08,0.02,0.01,0.04,-0.01,0.00
2021.4.13 11:13:52:431,-0.14,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.08,0.02,0.01,0.04,-0.01,0.00
2021.4.13 11:13:52:442,-0.14,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.09,0.02,0.01,0.03,-0.01,0.00
2021.4.13 11:13:52:462,-0.13,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.09,0.02,0.01,0.02,-0.01,0.00
2021.4.13 11:13:52:470,-0.13,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.08,0.02,0.01,0.02,-0.01,0.00
2021.4.13 11:13:52:475,-0.13,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.08,0.02,0.01,0.02,-0.02,0.00
2021.4.13 11:13:52:487,-0.13,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.08,0.01,0.01,0.03,-0.02,0.00
2021.4.13 11:13:52:498,-0.13,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.07,0.01,0.01,0.04,-0.03,0.01
2021.4.13 11:13:52:510,-0.13,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.20,0.07,0.01,0.01,0.04,-0.03,0.01
2021.4.13 11:13:52:522,-0.13,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.20,0.07,0.00,0.01,0.05,-0.04,0.01
2021.4.13 11:13:52:531,-0.13,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.20,0.06,0.00,0.01,0.05,-0.04,0.01
2021.4.13 11:13:52:542,-0.13,1.22,0.05,0.04,1.23,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.70,-0.20,0.06,0.00,0.01,0.05,-0.04,0.01
2021.4.13 11:13:52:562,-0.13,1.22,0.05,0.05,1.22,0.06,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.70,-0.20,0.05,0.00,0.01,0.05,-0.04,0.01
2021.4.13 11:13:52:568,-0.13,1.22,0.05,0.05,1.22,0.06,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.70,-0.20,0.05,0.00,0.02,0.05,-0.04,0.01
2021.4.13 11:13:52:576,-0.13,1.22,0.05,0.05,1.22,0.06,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.70,-0.20,0.05,-0.01,0.02,0.05,-0.03,0.01
2021.4.13 11:13:52:587,-0.13,1.22,0.05,0.05,1.22,0.06,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.70,-0.20,0.04,-0.01,0.02,0.05,-0.03,0.00
2021.4.13 11:13:52:598,-0.13,1.22,0.05,0.05,1.22,0.06,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.70,-0.20,0.04,-0.01,0.01,0.05,-0.02,0.00
2021.4.13 11:13:52:610,-0.13,1.22,0.05,0.05,1.22,0.06,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.70,-0.20,0.04,-0.01,0.01,0.06,-0.02,0.00
