uid,event,cut_mean,cut_max,cut_min,cut_std,cut_var,speed_mean,speed_max,speed_min,speed_std,speed_var,space_mean,space_max,space_min,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity
14,2,0.3743753832986686,0.8706838235435497,0.10064495102245988,0.18249286036300968,0.03330364408347295,1.1454427883961118,2.328279153584155,0.4414931330654866,0.35285423879205235,0.12450611383351869,0.3381436926655381,0.5622277118748239,0.16278820596099708,1,22,191,95,2,1,4,9,2,2,1,1,0
14,3,0.36297117531295886,0.7621267705702655,0.11438793109825925,0.19438882117934608,0.03778701379949578,1.1529659455611996,1.722892770328366,0.5607251524424474,0.30341360394684164,0.09205981506001087,0.3560369204670917,0.5603570290448759,0.2102379604162864,1,22,191,95,2,1,4,9,2,2,1,1,0
14,4,0.3456682448942111,0.8377653884382033,0.10242640687119277,0.1615133265993122,0.02608655466917609,1.1568084119094977,2.050132925358429,0.478628069491555,0.3815342286022113,0.14556836759508446,0.36573849656833934,0.5608029957123981,0.16124515496597105,1,22,191,95,2,1,4,9,2,2,1,1,0
15,1,0.5816946580448059,2.193605532487781,0.10000000000000003,0.44455766889802745,0.19763152097604822,1.1961644997758354,2.4611356062331082,0.3984063745019922,0.5077101180747297,0.257769563995456,0.39742564570059613,0.6977822009767805,0.07615773105863904,2,19,158,49,2,2,2,4,3,4,1,1,0
15,2,0.5283824681350818,2.0665042611985323,0.10071067811865478,0.3945688506304561,0.15568457788783918,1.1219038405670705,2.431637717226812,0.4532141896955439,0.449513536026751,0.20206241907127317,0.37061374800923186,0.7289718787443038,0.06708203932499374,2,19,158,49,2,2,2,4,3,4,1,1,0
15,3,0.5115737886079063,2.0165038139985043,0.10656854249492384,0.5174564022781116,0.2677611282586069,1.0837852743416696,2.141273091687505,0.5440977788642384,0.41796497110541947,0.17469471707115414,0.3950506382027048,0.7093659140387281,0.11313708498984765,2,19,158,49,2,2,2,4,3,4,1,1,0
15,4,0.604310374973631,2.1634504460604256,0.10120955864630136,0.48554798927795034,0.2357568498918606,1.1717189027381218,2.776241653093954,0.4411419291279121,0.5260980918470353,0.27677920224509156,0.40393157164685345,0.6906518659932803,0.07810249675906658,2,19,158,49,2,2,2,4,3,4,1,1,0
16,1,0.5284236219797244,1.4783973101456012,0.10236067977499776,0.3050189847179964,0.09303658103839732,1.3166278395307054,2.950392960333692,0.4550041996155013,0.40888358170280925,0.1671857833861179,0.39588505530609697,0.6466065264130885,0.14560219778561034,2,18,162,51,2,1,2,2,4,5,2,1,0
16,2,0.5332548661385683,1.452017379705551,0.10146264369941982,0.27887103792691753,0.07776905579443627,1.2817341938739677,2.590593477864996,0.44561428496897937,0.41188924674359545,0.16965275158300647,0.37689709228580115,0.6694027188471824,0.15556349186104046,2,18,162,51,2,1,2,2,4,5,2,1,0
16,3,0.4045892115237127,1.299095880281436,0.10307135789365264,0.2848963693160078,0.08116594124944311,1.267681192541221,2.163031642840376,0.5024191172926029,0.4073459449719272,0.16593071888507238,0.3972560971920212,0.6351377803280167,0.2202271554554524,2,18,162,51,2,1,2,2,4,5,2,1,0
