uid,side,event,trial,cut_mean,cut_max,cut_min,cut_std,cut_var,speed_mean,speed_max,speed_min,speed_std,speed_var,space_mean,space_max,space_min,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity
56,left,3,2,0.8221149711255038,1.1264780397612353,0.6377087303120299,0.18770390041754756,0.03523275423196061,2.0964226399001924,3.007865712577228,1.4796026225337118,0.6308925497273509,0.39802540930147795,0.3299803453978058,0.5547071299343466,0.147648230602334,2,22,172,52,2,1,2,4,1,5,2,1,1
56,right,3,2,0.5276096395009019,1.6354376556785366,0.100245795474528,0.5240597548893211,0.27463862669465533,1.5125839168392787,2.3029060520541345,0.8732602519956603,0.48625634906835874,0.23644523700928954,0.3299803453978058,0.5547071299343466,0.147648230602334,2,22,172,52,2,1,2,4,1,5,2,1,1
56,left,3,3,1.0765631987446236,1.7701226711115154,0.2885174579697539,0.44757153940007394,0.20032028288095194,2.2485945441192654,3.9625973493031688,1.518512936682915,0.8083570014547902,0.6534410418009796,0.3338153955594527,0.5800000000000001,0.1664331697709324,2,22,172,52,2,1,2,4,1,5,2,1,1
56,right,3,3,0.5010879723159917,1.8879338126491159,0.11071067811865444,0.6274286513764644,0.3936667125680889,1.3559186905099783,1.9423187372933288,0.9196278254943948,0.3823034498340107,0.14615592775498595,0.3338153955594527,0.5800000000000001,0.1664331697709324,2,22,172,52,2,1,2,4,1,5,2,1,1
56,left,4,1,0.6071700793097059,1.1665036283952244,0.12803118619434356,0.347062930569322,0.12045267777536606,1.742331664391993,2.804570719218056,0.9190568595809055,0.5088141116190534,0.2588918001826866,0.3183445212401711,0.5841232746604094,0.15652475842498528,2,22,172,52,2,1,2,4,1,5,2,1,1
56,right,4,1,0.5726849214472597,1.1073923874265088,0.10242640687119284,0.2932836402562695,0.0860152936419689,1.6991240684901527,2.7478719290980367,0.8826444717110825,0.5163430309016875,0.26661012556074104,0.3183445212401711,0.5841232746604094,0.15652475842498528,2,22,172,52,2,1,2,4,1,5,2,1,1
56,left,4,2,0.680815493734745,1.1420346730327076,0.10656854249492384,0.32007163302023534,0.1024458502642402,1.950808243376005,2.8377887799945216,0.9313722145469442,0.5411226394743597,0.29281371095169784,0.3301145157700283,0.5948108943185221,0.14317821063276354,2,22,172,52,2,1,2,4,1,5,2,1,1
56,right,4,2,0.6450619600707567,1.4728677988565133,0.11828427124746176,0.3489582226380207,0.1217718411466864,1.7646605645462092,2.771894792005738,0.8502886001625412,0.590486498656247,0.348674305095314,0.3301145157700283,0.5948108943185221,0.14317821063276354,2,22,172,52,2,1,2,4,1,5,2,1,1
56,left,4,3,0.7554830023838836,1.8049609314128725,0.10024579547452822,0.4401073057355751,0.19369444056182697,1.8874976210516947,3.0110832665825886,0.8536240624895982,0.6020625169055644,0.3624792742626631,0.34449377166232387,0.6940461079784254,0.15297058540778355,2,22,172,52,2,1,2,4,1,5,2,1,1
56,right,4,3,0.7186769888504148,1.5445258058310405,0.1224264068711928,0.42626994485615244,0.18170606588766722,1.80645732138329,3.0828858399821164,0.9204992997834044,0.6556850316205936,0.4299228606912988,0.34449377166232387,0.6940461079784254,0.15297058540778355,2,22,172,52,2,1,2,4,1,5,2,1,1
