,Unnamed: 0,event,age,height,weight,VR_exp,sport_fre,personality,familiarity,cut_mean,speed_mean,space_max
142,Unnamed: 0142,event3,age0,height1,weight1,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
143,Unnamed: 0143,event4,age0,height1,weight1,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
144,Unnamed: 0144,event1,age0,height3,weight2,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
145,Unnamed: 0145,event2,age0,height3,weight2,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
146,Unnamed: 0146,event3,age0,height3,weight2,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
147,Unnamed: 0147,event4,age0,height3,weight2,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanTrue,speed_meanFalse,space_maxFalse
148,Unnamed: 0148,event1,age0,height2,weight2,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
149,Unnamed: 0149,event2,age0,height2,weight2,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
150,Unnamed: 0150,event3,age0,height2,weight2,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
151,Unnamed: 0151,event4,age0,height2,weight2,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
152,Unnamed: 0152,event1,age1,height3,weight1,VR_exp1,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
153,Unnamed: 0153,event2,age1,height3,weight1,VR_exp1,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
154,Unnamed: 0154,event3,age1,height3,weight1,VR_exp1,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
155,Unnamed: 0155,event4,age1,height3,weight1,VR_exp1,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
156,Unnamed: 0156,event1,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
157,Unnamed: 0157,event2,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
158,Unnamed: 0158,event3,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
159,Unnamed: 0159,event4,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
160,Unnamed: 0160,event1,age1,height0,weight0,VR_exp1,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
161,Unnamed: 0161,event2,age1,height0,weight0,VR_exp1,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
162,Unnamed: 0162,event3,age1,height0,weight0,VR_exp1,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxFalse
163,Unnamed: 0163,event4,age1,height0,weight0,VR_exp1,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
164,Unnamed: 0164,event1,age1,height3,weight2,VR_exp1,sport_fre1,personality1,familiarity1,cut_meanFalse,speed_meanTrue,space_maxTrue
