cut_matching_cat,cut_matching_val,cut_proto_cat,cut_proto_val,cut_maml_cat,cut_maml_val,space_matching_cat,space_matching_val,space_proto_cat,space_proto_val,space_maml_cat,space_maml_val,speed_matching_cat,speed_matching_val,speed_proto_cat,speed_proto_val,speed_maml_cat,speed_maml_val
1,0.85,0.9975,0.84,0.95625,0.79375,0.675,0.475,0.995,0.765,0.87265625,0.5609375,0.9625,0.95,0.99,0.815,0.97890625,0.859375
0.9625,0.85,1,0.875,0.9765625,0.809375,0.6625,0.525,0.99,0.795,0.85078125,0.528125,1,0.9,0.985,0.875,0.98046875,0.8578125
0.9875,0.85,1,0.87,0.95078125,0.8015625,0.775,0.525,0.98,0.72,0.87421875,0.5734375,0.9625,0.95,0.9975,0.875,0.97421875,0.8578125
1,0.85,1,0.885,0.9578125,0.7796875,0.625,0.575,0.9875,0.735,0.85703125,0.56875,1,0.825,0.985,0.885,0.9890625,0.865625
0.975,0.825,0.9975,0.88,0.97734375,0.7875,0.7625,0.525,0.9675,0.75,0.890625,0.5796875,0.9,0.9,0.9975,0.855,0.99140625,0.8703125
0.9625,0.925,1,0.78,0.9640625,0.8203125,0.775,0.45,0.9825,0.73,0.8703125,0.5296875,0.9875,0.95,0.995,0.9,0.9796875,0.8671875
0.9875,0.75,0.9925,0.87,0.97109375,0.7796875,0.8375,0.625,0.9875,0.76,0.8796875,0.5921875,0.9625,0.95,0.995,0.855,0.98671875,0.8484375
0.95,0.775,0.995,0.865,0.971875,0.7421875,0.65,0.55,0.9825,0.715,0.88046875,0.5796875,0.9875,0.875,0.985,0.87,0.9921875,0.828125
0.9,0.875,1,0.875,0.98359375,0.7859375,0.625,0.5,0.9775,0.725,0.89140625,0.5953125,1,0.875,0.9925,0.89,0.97890625,0.8765625
1,0.8,1,0.875,0.96640625,0.79375,0.725,0.475,0.985,0.75,0.8625,0.534375,0.975,0.9,0.9875,0.875,0.98203125,0.8375
0.9875,0.9,1,0.795,0.9609375,0.809375,0.6,0.75,0.975,0.78,0.87578125,0.5828125,0.9625,0.975,0.995,0.885,0.97578125,0.834375
0.9625,0.875,0.9975,0.845,0.96796875,0.7671875,0.55,0.4,0.98,0.74,0.8671875,0.5890625,0.925,0.775,0.9975,0.865,0.98046875,0.8484375
0.9875,0.8,0.9975,0.85,0.96171875,0.7703125,0.625,0.525,0.99,0.68,0.8828125,0.5671875,0.95,0.85,1,0.905,0.99375,0.8359375
0.9375,0.925,0.9975,0.9,0.96328125,0.7609375,0.675,0.45,0.9825,0.77,0.89140625,0.5171875,0.925,0.925,1,0.9,0.9828125,0.83125
0.9625,0.9,0.9975,0.855,0.9734375,0.78125,0.7,0.425,0.99,0.725,0.8734375,0.5640625,0.975,0.825,0.9975,0.885,0.98203125,0.8390625
0.95,0.875,0.9975,0.85,0.97734375,0.7921875,0.775,0.575,0.995,0.745,0.88671875,0.54375,1,0.9,0.9975,0.91,0.9890625,0.853125
0.9875,0.875,1,0.85,0.9734375,0.828125,0.575,0.45,0.9925,0.725,0.89921875,0.5421875,1,0.85,0.9925,0.885,0.9875,0.859375
1,0.9,1,0.855,0.9578125,0.771875,0.7125,0.475,0.9975,0.805,0.90546875,0.609375,0.9625,0.85,0.9975,0.86,0.9796875,0.8453125
0.9125,0.875,0.9975,0.84,0.9796875,0.8015625,0.6375,0.525,0.9925,0.745,0.9046875,0.5703125,0.975,0.925,0.9925,0.895,0.98046875,0.8328125
1,0.9,0.9975,0.85,0.97734375,0.7484375,0.8375,0.4,0.99,0.705,0.884375,0.578125,0.9875,0.9,0.9975,0.91,0.98828125,0.859375
0.9875,0.75,1,0.86,0.96015625,0.7921875,0.7125,0.475,0.99,0.76,0.8765625,0.5390625,0.9625,0.85,0.995,0.895,0.9875,0.8515625
0.9125,0.775,1,0.8,0.97265625,0.765625,0.6875,0.475,0.9925,0.72,0.8734375,0.5359375,1,0.9,0.995,0.875,0.98359375,0.871875
0.9625,0.875,0.9975,0.87,0.95703125,0.79375,0.7625,0.525,0.9925,0.81,0.896875,0.5375,0.9875,0.9,1,0.89,0.98828125,0.8625
0.9875,0.925,0.9975,0.88,0.96875,0.74375,0.7875,0.55,0.995,0.75,0.91015625,0.5453125,0.9875,0.875,0.9975,0.91,0.98359375,0.85625
0.95,0.825,1,0.855,0.97109375,0.815625,0.7125,0.5,0.98,0.7,0.88359375,0.5453125,0.9875,0.9,0.995,0.825,0.99296875,0.8625
1,0.875,0.995,0.87,0.97421875,0.8203125,0.8375,0.525,0.9975,0.72,0.89375,0.578125,1,0.85,0.995,0.865,0.9890625,0.8609375
0.9875,0.925,1,0.86,0.97578125,0.76875,0.7625,0.45,0.98,0.77,0.896875,0.596875,0.9625,0.875,0.9975,0.885,0.9890625,0.871875
0.9625,0.9,1,0.875,0.96953125,0.7734375,0.775,0.625,0.9825,0.745,0.8921875,0.5734375,0.9875,0.85,0.9975,0.895,0.9875,0.8625
0.9875,0.875,1,0.84,0.978125,0.79375,0.7625,0.45,0.9925,0.71,0.89765625,0.559375,1,0.825,1,0.88,0.9890625,0.8546875
0.95,0.9,1,0.885,0.9703125,0.7625,0.7375,0.525,0.995,0.7,0.88515625,0.53125,0.9125,0.925,0.99,0.845,0.9859375,0.8171875
0.975,0.9,1,0.825,0.97578125,0.7921875,0.8375,0.525,0.9975,0.725,0.89453125,0.615625,0.9875,0.9,1,0.905,0.9875,0.8484375
0.9625,0.85,1,0.855,0.96796875,0.7765625,0.7125,0.7,0.9975,0.75,0.878125,0.54375,0.9875,0.85,0.9975,0.89,0.98671875,0.8515625
0.9625,0.85,0.995,0.865,0.96953125,0.7953125,0.65,0.475,0.9975,0.74,0.90390625,0.5234375,0.95,0.875,1,0.9,0.9890625,0.86875
