,Unnamed: 0,event,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity,cut_mean,speed_mean,space_max,space_mean
97,97,2,0,0,2,1,1,0,1,0,0,0,0,1,0,1.0,1.0,0.0,0.0
98,98,3,0,0,2,1,1,0,1,0,0,0,0,1,0,1.0,1.0,0.0,1.0
99,99,4,0,0,2,1,1,0,1,0,0,0,0,1,0,0.0,1.0,0.0,1.0
100,100,1,0,1,2,2,1,0,1,0,1,1,0,1,1,2.0,2.0,3.0,3.0
101,101,2,0,1,2,2,1,0,1,0,1,1,0,1,1,2.0,2.0,2.0,2.0
102,102,3,0,1,2,2,1,0,1,0,1,1,0,1,1,2.0,1.0,2.0,3.0
103,103,4,0,1,2,2,1,0,1,0,1,1,0,1,1,2.0,2.0,3.0,3.0
104,104,1,0,0,3,3,1,0,1,0,1,1,0,0,0,0.0,0.0,2.0,2.0
105,105,2,0,0,3,3,1,0,1,0,1,1,0,0,0,0.0,0.0,3.0,2.0
106,106,3,0,0,3,3,1,0,1,0,1,1,0,0,0,0.0,0.0,1.0,2.0
107,107,4,0,0,3,3,1,0,1,0,1,1,0,0,0,0.0,0.0,2.0,3.0
108,108,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1.0,1.0,0.0,1.0
109,109,2,0,0,1,1,1,0,1,0,0,1,0,1,0,1.0,1.0,0.0,0.0
110,110,3,0,0,1,1,1,0,1,0,0,1,0,1,0,1.0,1.0,0.0,1.0
111,111,4,0,0,1,1,1,0,1,0,0,1,0,1,0,1.0,1.0,0.0,1.0
112,112,1,0,0,3,3,1,0,1,1,1,1,0,1,0,0.0,0.0,0.0,0.0
113,113,2,0,0,3,3,1,0,1,1,1,1,0,1,0,0.0,0.0,0.0,0.0
114,114,3,0,0,3,3,1,0,1,1,1,1,0,1,0,1.0,1.0,0.0,0.0
115,115,4,0,0,3,3,1,0,1,1,1,1,0,1,0,0.0,0.0,0.0,1.0
116,116,1,0,0,1,1,1,0,0,0,1,0,1,0,1,3.0,2.0,1.0,2.0
117,117,2,0,0,1,1,1,0,0,0,1,0,1,0,1,3.0,1.0,2.0,0.0
118,118,3,0,0,1,1,1,0,0,0,1,0,1,0,1,3.0,2.0,1.0,1.0
119,119,4,0,0,1,1,1,0,0,0,1,0,1,0,1,3.0,2.0,2.0,2.0
120,120,1,0,0,2,1,1,1,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0
121,121,2,0,0,2,1,1,1,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0
122,122,3,0,0,2,1,1,1,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0
123,123,4,0,0,2,1,1,1,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0
124,124,1,0,1,2,2,0,0,1,0,1,0,0,0,0,1.0,3.0,0.0,0.0
125,125,2,0,1,2,2,0,0,1,0,1,0,0,0,0,1.0,2.0,0.0,0.0
126,126,3,0,1,2,2,0,0,1,0,1,0,0,0,0,1.0,3.0,0.0,0.0
127,127,4,0,1,2,2,0,0,1,0,1,0,0,0,0,1.0,3.0,0.0,0.0
128,128,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0.0,1.0,0.0,0.0
129,129,2,1,1,1,1,1,0,0,0,0,1,0,1,0,0.0,1.0,0.0,0.0
130,130,3,1,1,1,1,1,0,0,0,0,1,0,1,0,0.0,1.0,0.0,0.0
131,131,4,1,1,1,1,1,0,0,0,0,1,0,1,0,0.0,2.0,0.0,1.0
132,132,1,1,0,0,0,1,1,1,0,1,1,0,1,1,2.0,3.0,3.0,1.0
133,133,2,1,0,0,0,1,1,1,0,1,1,0,1,1,1.0,3.0,3.0,0.0
134,134,3,1,0,0,0,1,1,1,0,1,1,0,1,1,2.0,3.0,1.0,1.0
135,135,4,1,0,0,0,1,1,1,0,1,1,0,1,1,2.0,3.0,3.0,0.0
136,136,1,1,0,2,1,1,0,0,1,0,1,0,0,0,0.0,1.0,2.0,2.0
137,137,2,1,0,2,1,1,0,0,1,0,1,0,0,0,0.0,0.0,1.0,1.0
138,138,3,1,0,2,1,1,0,0,1,0,1,0,0,0,0.0,1.0,1.0,1.0
139,139,4,1,0,2,1,1,0,0,1,0,1,0,0,0,1.0,1.0,1.0,2.0
140,140,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1.0,1.0,2.0,3.0
141,141,2,1,0,1,1,1,0,0,1,1,1,1,1,0,1.0,1.0,2.0,3.0
142,142,3,1,0,1,1,1,0,0,1,1,1,1,1,0,2.0,2.0,2.0,3.0
143,143,4,1,0,1,1,1,0,0,1,1,1,1,1,0,2.0,2.0,2.0,3.0
144,144,1,0,0,3,2,1,0,1,0,0,1,0,1,0,1.0,1.0,1.0,2.0
145,145,2,0,0,3,2,1,0,1,0,0,1,0,1,0,1.0,1.0,1.0,1.0
146,146,3,0,0,3,2,1,0,1,0,0,1,0,1,0,1.0,1.0,1.0,2.0
147,147,4,0,0,3,2,1,0,1,0,0,1,0,1,0,2.0,1.0,1.0,2.0
148,148,1,0,0,2,2,1,0,0,1,1,1,0,1,0,0.0,1.0,3.0,3.0
149,149,2,0,0,2,2,1,0,0,1,1,1,0,1,0,0.0,1.0,2.0,2.0
150,150,3,0,0,2,2,1,0,0,1,1,1,0,1,0,0.0,1.0,2.0,3.0
151,151,4,0,0,2,2,1,0,0,1,1,1,0,1,0,0.0,1.0,3.0,3.0
152,152,1,0,1,3,1,1,1,1,0,0,1,0,0,1,3.0,3.0,3.0,1.0
153,153,2,0,1,3,1,1,1,1,0,0,1,0,0,1,3.0,3.0,3.0,0.0
154,154,3,0,1,3,1,1,1,1,0,0,1,0,0,1,3.0,3.0,3.0,1.0
155,155,4,0,1,3,1,1,1,1,0,0,1,0,0,1,3.0,3.0,3.0,1.0
156,156,1,1,1,1,1,1,0,1,0,0,1,0,1,1,3.0,2.0,3.0,2.0
157,157,2,1,1,1,1,1,0,1,0,0,1,0,1,1,3.0,2.0,3.0,0.0
158,158,3,1,1,1,1,1,0,1,0,0,1,0,1,1,3.0,3.0,3.0,1.0
159,159,4,1,1,1,1,1,0,1,0,0,1,0,1,1,3.0,2.0,3.0,1.0
160,160,1,1,1,0,0,0,1,0,1,1,0,1,1,0,3.0,3.0,3.0,3.0
161,161,2,1,1,0,0,0,1,0,1,1,0,1,1,0,3.0,3.0,3.0,2.0
162,162,3,1,1,0,0,0,1,0,1,1,0,1,1,0,3.0,3.0,1.0,2.0
163,163,4,1,1,0,0,0,1,0,1,1,0,1,1,0,3.0,3.0,2.0,2.0
164,164,1,0,1,3,2,1,1,1,1,0,1,0,1,1,0.0,2.0,3.0,3.0
165,165,2,0,1,3,2,1,1,1,1,0,1,0,1,1,1.0,2.0,3.0,2.0
166,166,3,0,1,3,2,1,1,1,1,0,1,0,1,1,1.0,2.0,3.0,3.0
167,167,4,0,1,3,2,1,1,1,1,0,1,0,1,1,0.0,2.0,2.0,3.0
168,168,1,0,1,2,1,1,0,0,0,0,1,0,0,1,2.0,3.0,3.0,2.0
169,169,2,0,1,2,1,1,0,0,0,0,1,0,0,1,2.0,3.0,3.0,1.0
170,170,3,0,1,2,1,1,0,0,0,0,1,0,0,1,2.0,3.0,3.0,2.0
171,171,4,0,1,2,1,1,0,0,0,0,1,0,0,1,2.0,3.0,3.0,3.0
172,172,1,0,1,1,1,1,1,1,1,1,1,0,1,0,3.0,3.0,3.0,3.0
173,173,2,0,1,1,1,1,1,1,1,1,1,0,1,0,3.0,3.0,3.0,3.0
174,174,3,0,1,1,1,1,1,1,1,1,1,0,1,0,3.0,3.0,3.0,3.0
175,175,4,0,1,1,1,1,1,1,1,1,1,0,1,0,3.0,3.0,3.0,3.0
176,176,1,0,0,3,2,1,0,1,1,1,1,0,1,0,3.0,3.0,3.0,2.0
177,177,2,0,0,3,2,1,0,1,1,1,1,0,1,0,3.0,3.0,3.0,1.0
178,178,3,0,0,3,2,1,0,1,1,1,1,0,1,0,3.0,3.0,3.0,2.0
179,179,4,0,0,3,2,1,0,1,1,1,1,0,1,0,3.0,3.0,3.0,2.0
180,180,1,1,1,2,2,1,0,0,0,1,1,0,0,0,1.0,2.0,1.0,0.0
181,181,2,1,1,2,2,1,0,0,0,1,1,0,0,0,1.0,1.0,1.0,0.0
182,182,3,1,1,2,2,1,0,0,0,1,1,0,0,0,0.0,1.0,0.0,0.0
183,183,4,1,1,2,2,1,0,0,0,1,1,0,0,0,1.0,2.0,1.0,0.0
184,184,1,1,1,1,1,1,0,1,0,1,1,0,1,1,3.0,3.0,1.0,0.0
185,185,2,1,1,1,1,1,0,1,0,1,1,0,1,1,3.0,3.0,1.0,0.0
186,186,3,1,1,1,1,1,0,1,0,1,1,0,1,1,3.0,3.0,0.0,0.0
187,187,4,1,1,1,1,1,0,1,0,1,1,0,1,1,3.0,3.0,1.0,0.0
188,188,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1.0,2.0,2.0,3.0
